key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-1000361956,Climate and Health in Maryland:: The Maryland Climate Change Health Adaptation Program,2017,10,,Delaware Journal of Public Health,2639-6378,3,5,44-50,"Gost, A. and Hess-Mutinda, R. and Mitchell, C. and Sapkota, A.",https://galter.northwestern.edu/exit?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=pmnm4&AN=34466941https://galter.northwestern.edu/exit?url=https://search.library.northwestern.edu/openurl/01NWU_INST/01NWU_INST:HSLV?sid=OVID:medline&id=pmid:34466941&id=doi:10.32481%2Fdjph.2017.10.008&issn=2639-6378&isbn=&volume=3&issue=5&spage=44&pages=44-50&date=2017&title=Delaware+Journal+of+Public+Health&atitle=Climate+and+Health+in+Maryland%3A%3A+The+Maryland+Climate+Change+Health+Adaptation+Program.&aulast=Gost     https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8389712/pdf/djph-35-008.pdf,,,,"Maryland's response to climate change has included creation of the Maryland Commission on Climate Change in 2007, and initiatives across many State agencies. The Commission coordinates these initiatives through the State Climate Action Plan. The Maryland Department of Health has partnered with the School of Public Health at the University of Maryland College Park to develop the 2016 Climate and Health Profile report, which estimates the health impacts of climate change in Maryland. Using historical health data and climate model projections, the report found that climate change will have a disproportionate impact on certain populations across the state. For example, extreme heat and extreme precipitation events during summer months increased the risk of hospitalization for asthma in Maryland by 22% and 11% respectively. But the extreme heat related risk for asthma hospitalization was more pronounced among non-Hispanic whites (33%) than non-Hispanic blacks (20%). Based on these findings, the Department and School have begun to engage with community organizations and various stakeholders to develop interventions and adaptations aimed at increasing resilience and mitigating some of the health impacts. Through these partnerships and projects, Maryland is using health data, climate projections, and the State Climate Action Plan to assist local communities and regional partners in climate adaptation activities.",RAYYAN-LABELS: Sara,10.32481/djph.2017.10.008,Maryland,,
rayyan-1000362173,Heat Stress and Cardiac Strain in French Vineyard Workers,2021,3,5,Annals of Work Exposures And Health,2398-7316,65,4,390-396,"Grimbuhler, S. and Viel, J. F.",https://galter.northwestern.edu/exit?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med19&AN=33367558https://galter.northwestern.edu/exit?url=https://search.library.northwestern.edu/openurl/01NWU_INST/01NWU_INST:HSLV?sid=OVID:medline&id=pmid:33367558&id=doi:10.1093%2Fannweh%2Fwxaa115&issn=2398-7308&isbn=&volume=65&issue=4&spage=390&pages=390-396&date=2021&title=Annals+of+Work+Exposures+And+Health&atitle=Heat+Stress+and+Cardiac+Strain+in+French+Vineyard+Workers.&aulast=Grimbuhler     https://watermark.silverchair.com/wxaa115.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAsUwggLBBgkqhkiG9w0BBwagggKyMIICrgIBADCCAqcGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMdf6KYDD4ZUg0O7oBAgEQgIICeIe2vlo55xPJO6GKp3kEGYTI2-m-lEKsY06QcHO9576znM6vb9Dq98AaZUG-Le4Tk8KAmALPneTwr2yKCrLDkfdkhhbdBxQVHXj2RnQOgSSA6JFyKBZWA-0iB7I4iEwd5y_1Ve3oFt0MoetuFmqRSrIC_TOlFPBWnuJKBHHPGfXbyL9LtkIcldCu7xD2f8LkCPIUPPssKhbVD4Lka8KpQv4Abt4pWagldS2BPzhY4nCQ6rkMsRHv6rY3YzsW0pSBSTFh6716m01iJoqV2bnM3OKiRb7lvoUK82GwD04pS28cXFEHay4zQhZLVLuuY-untVnzfoIFpz6nTxNK5O_Zm1CFEjdfwi9EC6Rch3y8IrYhT4igUx55J4JaC5PjTScTo_QFAD4D8133XPwtCusJv9clUaWU4on14R2z7Jky2WFkIkQPmL9ggQZQ5yUHyArD8VNPQC36P1JhGHBqQYrJggV03w3mZZY93jjtXO9W4g8cRIKXd-VTVCozKPvQ1Xn-DBAnsdpghSl-C5uip_CDqkflysn9VG5egpqyxSwQRO7kb0k2s9ASs-O6SEP0Fl4caC5u4jO58b0BzOavQ4Ll-3lVHbGvNi8wDLihOQ2xkkzQ3f0S5LRzxGDt4p8ji-BEzlUOTZj9h3vze3y3djoVGeWCRKs0zrhsSJpWSl2gwBvTMqnPz_brVIA_Cmkn_Yho5FvLpMtCq7RA89YjsRs_LXMEm45JPbeI-yFxDqLySTANeeyYPbTlczgT3tV0EfI-n9ITFskPJBm3eJx6gPZXOWxrLL23SiQhbtx2JCmbwqe0y8YYyn_rzmFKbOAysrmN01E1jSybfk31,,,,"Agricultural workers often produce considerable excess heat due to the physically demanding nature of their activities, increasing their risk of thermal stress in even moderately warm conditions. Few studies have examined the physiological responses to heat load in agriculture. We aimed to assess the heat strain experienced by vineyard workers during canopy management in dry field conditions, and to disentangle the effects of the heat produced by the body and the thermal environment. Thirty workers from five Bordeaux vineyards of southern France were monitored during vine-lifting and trellising (June 2012). The mean heart rate, net cardiac cost, relative cardiac cost, and cardiac workload score were assessed during field activity. As the workers were nested within vineyards, multilevel linear regression models were used for correct inference. Skin temperature increased by an average of 1.0degreeC. Cardiac indices showed marked differences between individuals. The workload was evaluated as 'heavy' or 'very heavy' for more than one-third of the workers, of whom one experienced heat exhaustion. Above some individual characteristics, we highlighted a contextual effect (air temperature) for the mean heart rate (P = 0.03), the relative cardiac cost (P = 0.01) and, to a lesser extent, a cardiac workload score (P = 0.07). Canopy management by hand in vineyards causes considerable cardiac and thermoregulatory strain. Appropriate instruments should be developed to simultaneously evaluate work intensity, work quality, and productivity at the vineyard level to raise the awareness of both managers and employees about taking preventive measures.",RAYYAN-LABELS: Sara,10.1093/annweh/wxaa115,Farms;France;*Heat Stress Disorders;Heat-Shock Response;Hot Temperature;Humans;*Occupational Exposure,,
rayyan-1000362105,Heat wave 2003 and mortality in Switzerland,2005,4,2,Swiss Medical Weekly,1424-7860,135,13,200-205,"Grize, L. and Huss, A. and Thommen, O. and Schindler, C. and Braun-Fahrlander, C.",https://galter.northwestern.edu/exit?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med6&AN=15909237https://galter.northwestern.edu/exit?url=https://search.library.northwestern.edu/openurl/01NWU_INST/01NWU_INST:HSLV?sid=OVID:medline&id=pmid:15909237&id=doi:10.4414%2Fsmw.2005.11009&issn=1424-7860&isbn=&volume=135&issue=13-14&spage=200&pages=200-5&date=2005&title=Swiss+Medical+Weekly&atitle=Heat+wave+2003+and+mortality+in+Switzerland.&aulast=Grize     https://smw.ch/index.php/smw/article/download/479/476,,,,"QUESTIONS UNDER STUDY: During June to August 2003, high temperatures were reported across Europe including Switzerland. In many European countries, particularly in France the heat wave was associated with an increase in mortality. This is the first analysis investigating whether the high temperatures during summer 2003 in Switzerland had a measurable impact on mortality. METHODS: Daily data on all-cause mortality for the period January 1990 to December 2003, and meteorological data from 20 different stations for the same period were analysed. Excess mortality for different age groups, gender and geographic regions was calculated. Daily mortality and temperature in 2003 was correlated with lags of temperature up to 7 days. RESULTS: An estimated 7% increase in all cause mortality occurred during June to August 2003. Excess mortality was limited to the region north of the Alps, to inhabitants of cities and suburban areas and was more pronounced among the elderly and the inhabitants of Basel, Geneva and Lausanne. North of the Alps, deviations in daily mortality were significantly correlated with deviations in maximum daily temperatures and night temperatures. The combination of day temperature above 35 degrees C and night temperatures above 20 degrees C predominantly occurred in Basel and Geneva and might in part explain the regional differences in excess mortality. CONCLUSIONS: As the number of elderly people in Switzerland continues to rise and the occurrence of heat waves is predicted to increase as a consequence of global warming, preventive programmes targeting susceptible populations during heat waves are warranted.",RAYYAN-LABELS: Sara,10.4414/smw.2005.11009,"Adult;Aged;Aged, 80 and over;Air Pollution;Female;*Heat Stroke/mo [Mortality];Heat Stroke/pc [Prevention & Control];Humans;Male;Middle Aged;Switzerland/ep [Epidemiology];*Weather;Hot Temperature;Switzerland",,
rayyan-1000361960,"Vulnerability to extreme heat by socio-demographic characteristics and area green space among the elderly in Michigan, 1990-2007",2015,1,,Environmental Research,1096-0953,136,,449-461,"Gronlund, C. J. and Berrocal, V. J. and White-Newsome, J. L. and Conlon, K. C. and O'Neill, M. S.",https://galter.northwestern.edu/exit?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med12&AN=25460667https://galter.northwestern.edu/exit?url=https://search.library.northwestern.edu/openurl/01NWU_INST/01NWU_INST:HSLV?sid=OVID:medline&id=pmid:25460667&id=doi:10.1016%2Fj.envres.2014.08.042&issn=0013-9351&isbn=&volume=136&issue=&spage=449&pages=449-61&date=2015&title=Environmental+Research&atitle=Vulnerability+to+extreme+heat+by+socio-demographic+characteristics+and+area+green+space+among+the+elderly+in+Michigan%2C+1990-2007.&aulast=Gronlund     https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4282170/pdf/nihms-645402.pdf,,,,"OBJECTIVES: We examined how individual and area socio-demographic characteristics independently modified the extreme heat (EH)-mortality association among elderly residents of 8 Michigan cities, May-September, 1990-2007. METHODS: In a time-stratified case-crossover design, we regressed cause-specific mortality against EH (indicator for 4-day mean, minimum, maximum or apparent temperature above 97th or 99 th percentiles). We examined effect modification with interactions between EH and personal marital status, age, race, sex and education and ZIP-code percent ""non-green space"" (National Land Cover Dataset), age, race, income, education, living alone, and housing age (U.S. Census). RESULTS: In models including multiple effect modifiers, the odds of cardiovascular mortality during EH (99 th percentile threshold) vs. non-EH were higher among non-married individuals (1.21, 95% CI=1.14-1.28 vs. 0.98, 95% CI=0.90-1.07 among married individuals) and individuals in ZIP codes with high (91%) non-green space (1.17, 95% CI=1.06-1.29 vs. 0.98, 95% CI=0.89-1.07 among individuals in ZIP codes with low (39%) non-green space). Results suggested that housing age may also be an effect modifier. For the EH-respiratory mortality association, the results were inconsistent between temperature metrics and percentile thresholds of EH but largely insignificant. CONCLUSIONS: Green space, housing and social isolation may independently enhance elderly peoples' heat-related cardiovascular mortality vulnerability. Local adaptation efforts should target areas and populations at greater risk.",RAYYAN-LABELS: Sara,10.1016/j.envres.2014.08.042,"*Climate;Cross-Over Studies;Demography;*Environmental Exposure;*Hot Temperature;Humans;Michigan;Models, Theoretical;*Social Class;Hot Temperature",,
rayyan-1000361970,"Neighborhood vulnerability to heat-associated mortality in Michigan, 1992-2006",2012,,,Epidemiology,1044-3983,23,5,S553,"Gronlund, C. J. and White-Newsome, J. L. and O'Neill, M. S.",https://www.embase.com/search/results?subaction=viewrecord&id=L71289894&from=export http://dx.doi.org/10.1097/01.ede.0000417151.26346.20,English,,,"Background: With climate change and population aging, the health burden of high temperatures is a present and future concern, even in cooler climates. Adaptation strategies should target vulnerable populations. However, vulnerabilities due to land use and sociodemographic characteristics are not well understood. Objectives: We examined how neighborhood-level green space and sociodemographic characteristics modified the association between temperature and mortality among the elderly in five Michigan cities, May-September, 1992-2006. Methods: In a time-stratified case-crossover design, individual natural-cause mortality records were regressed against a piecewise linear spline of two-day average apparent temperature (AT). Effect modification by characteristics of the decedent's zip code, including percent “green space” (computed from the 2001 National Land Cover Dataset), percent below poverty, percent without a high school education and percent Black (from the 2000 U.S. Census) were examined using an interaction term between the spline above the 75th percentile of AT and the characteristic. Results were pooled using random effects meta analysis. Results: All-natural-cause mortality was associated with high AT (for a 5 degree C increase in AT, OR (95% CI): 1.06 (1.04, 1.08)). In models with only a single interaction term, percent green space, poverty, no high school education and Black interaction terms were all significant. However, after adjusting for interaction terms of demographic variables, percent green space was not a significant modifier. Conclusions: Neighborhood green space does not modify the association between AT and mortality among the elderly. Future research will examine how neighborhood characteristics modify the association between AT and hospital admissions.",RAYYAN-LABELS: Sara,10.1097/01.ede.0000417151.26346.20,mortality;heat;temperature;society;United States;epidemiology;climate change;human;poverty;high school;aged;education;land use;adaptation;population research;climate;high temperature;crossover procedure;city;health;aging;hospital admission;meta analysis;model;vulnerable population;population;Hot Temperature;Michigan,,
rayyan-1000362108,"Vulnerability to Renal, Heat and Respiratory Hospitalizations During Extreme Heat Among U.S. Elderly",2016,6,,Climatic Change,0165-0009,136,3,631-645,"Gronlund, C. J. and Zanobetti, A. and Wellenius, G. A. and Schwartz, J. D. and O'Neill, M. S.",https://galter.northwestern.edu/exit?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=pmnm3&AN=27453614https://galter.northwestern.edu/exit?url=https://search.library.northwestern.edu/openurl/01NWU_INST/01NWU_INST:HSLV?sid=OVID:medline&id=pmid:27453614&id=doi:10.1007%2Fs10584-016-1638-9&issn=0165-0009&isbn=&volume=136&issue=3&spage=631&pages=631-645&date=2016&title=Climatic+Change&atitle=Vulnerability+to+Renal%2C+Heat+and+Respiratory+Hospitalizations+During+Extreme+Heat+Among+U.S.+Elderly.&aulast=Gronlund     https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4956383/pdf/nihms766760.pdf,,,,"BACKGROUND: Extreme heat (EH) is a growing concern with climate change, and protecting human health requires knowledge of vulnerability factors. We evaluated whether associations between EH (maximum temperature > 97th percentile) and hospitalization for renal, heat and respiratory diseases among people >= 65 years differed by individual and area-level characteristics. METHODS: We used Medicare billing records, airport weather data, U.S. Census data and satellite land cover imagery in 109 US cities, May-September, 1992-2006, in a time-stratified case-crossover design. Interaction terms between EH and individual (> 78 years, black race, sex) and home ZIP-code (percentages of non-green space, high school education, housing built before 1940) characteristics were incorporated in a single model. Next, we pooled city-specific effect estimates or regressed them on quartiles of air conditioning prevalence (ACP) in a multivariate random effects meta-analysis. RESULTS: EH and combined renal/heat/respiratory hospitalization associations were stronger among blacks, the very old, in ZIP codes with lower educational attainment or older housing and in cities with lower ACP. For example, for EH versus non-heat days, we found a 15% (95% CI 11%-19%) increase in renal/heat/respiratory hospitalizations among individuals in ZIP codes with higher percent of older homes in contrast to a 9% (95% CI 6%-12%) increase in hospitalizations in ZIP codes with lower percent older homes. CONCLUSION: Vulnerability to EH-associated hospitalization may be influenced by age, educational attainment, housing age and ACP.",RAYYAN-LABELS: Sara,10.1007/s10584-016-1638-9,climate change;heat waves;hospital admissions;morbidity;temperature;Hot Temperature,,
rayyan-1000362097,Time series study on the effects of daily average temperature on the mortality from respiratory diseases and circulatory diseases: a case study in Mianyang City,2022,3,5,BMC Public Health,1471-2458,22,1,1001,"Guo, H. and Du, P. and Zhang, H. and Zhou, Z. and Zhao, M. and Wang, J. and Shi, X. and Lin, J. and Lan, Y. and Xiao, X. and Zheng, C. and Ma, X. and Liu, C. and Zou, J. and Yang, S. and Luo, J. and Feng, X.",https://galter.northwestern.edu/exit?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med22&AN=35581623https://galter.northwestern.edu/exit?url=https://search.library.northwestern.edu/openurl/01NWU_INST/01NWU_INST:HSLV?sid=OVID:medline&id=pmid:35581623&id=doi:10.1186%2Fs12889-022-13384-6&issn=1471-2458&isbn=&volume=22&issue=1&spage=1001&pages=1001&date=2022&title=BMC+Public+Health&atitle=Time+series+study+on+the+effects+of+daily+average+temperature+on+the+mortality+from+respiratory+diseases+and+circulatory+diseases%3A+a+case+study+in+Mianyang+City.&aulast=Guo     https://bmcpublichealth.biomedcentral.com/counter/pdf/10.1186/s12889-022-13384-6.pdf,,,,"BACKGROUND: Climate change caused by environmental pollution is the most important one of many environmental health hazards currently faced by human beings. In particular, the extreme temperature is an important risk factor for death from respiratory and circulatory diseases. This study aims to explore the meteorological-health effect and find out the vulnerable individuals of extreme temperature events in a less developed city in western China. METHOD: We collected the meteorological data and data of death caused by respiratory and circulatory diseases in Mianyang City from 2013 to 2019. The nonlinear distributed lag model and the generalized additive models were combined to study the influence of daily average temperature (DAT) on mortality from respiratory and circulatory diseases in different genders, ages. RESULTS: The exposure-response curves between DAT and mortality from respiratory and circulatory diseases presented a nonlinear characteristic of the ""V"" type. Cumulative Relative Risk of 30 days (CRR<sub>30</sub>) of deaths from respiratory diseases with 4.48 (2.98, 6.73) was higher than that from circulatory diseases with 2.77 (1.96, 3.92) at extremely low temperature, while there was no obvious difference at extremely high temperature. The health effects of low temperatures on the respiratory system of people of all ages and genders were persistent, while that of high temperatures were acute and short-term. The circulatory systems of people aged < 65 years were more susceptible to acute effects of cold temperatures, while the effects were delayed in females and people aged >=65 years. CONCLUSION: Both low and high temperatures increased the risk of mortality from respiratory and circulatory diseases. Cold effects seemed to last longer than heat did.",RAYYAN-LABELS: Sara,10.1186/s12889-022-13384-6,*Cardiovascular Diseases;China/ep [Epidemiology];Cities/ep [Epidemiology];Cold Temperature;Female;Hot Temperature;Humans;Male;Mortality;*Respiration Disorders;Risk Factors;Temperature;Time Factors,,
rayyan-1000362046,"Effects of temperature on mortality in Chiang Mai city, Thailand: a time series study",2012,7,9,Environmental Health: A Global Access Science Source,1476-069X,11,,36,"Guo, Y. and Punnasiri, K. and Tong, S.",https://galter.northwestern.edu/exit?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med9&AN=22613086https://galter.northwestern.edu/exit?url=https://search.library.northwestern.edu/openurl/01NWU_INST/01NWU_INST:HSLV?sid=OVID:medline&id=pmid:22613086&id=doi:10.1186%2F1476-069X-11-36&issn=1476-069X&isbn=&volume=11&issue=1&spage=36&pages=36&date=2012&title=Environmental+Health%3A+A+Global+Access+Science+Source&atitle=Effects+of+temperature+on+mortality+in+Chiang+Mai+city%2C+Thailand%3A+a+time+series+study.&aulast=Guo     https://ehjournal.biomedcentral.com/counter/pdf/10.1186/1476-069X-11-36.pdf,,,,"BACKGROUND: The association between temperature and mortality has been examined mainly in North America and Europe. However, less evidence is available in developing countries, especially in Thailand. In this study, we examined the relationship between temperature and mortality in Chiang Mai city, Thailand, during 1999-2008. METHOD: A time series model was used to examine the effects of temperature on cause-specific mortality (non-external, cardiopulmonary, cardiovascular, and respiratory) and age-specific non-external mortality (<=64, 65-74, 75-84, and > =85 years), while controlling for relative humidity, air pollution, day of the week, season and long-term trend. We used a distributed lag non-linear model to examine the delayed effects of temperature on mortality up to 21 days. RESULTS: We found non-linear effects of temperature on all mortality types and age groups. Both hot and cold temperatures resulted in immediate increase in all mortality types and age groups. Generally, the hot effects on all mortality types and age groups were short-term, while the cold effects lasted longer. The relative risk of non-external mortality associated with cold temperature (19.35degreeC, 1st percentile of temperature) relative to 24.7degreeC (25th percentile of temperature) was 1.29 (95% confidence interval (CI): 1.16, 1.44) for lags 0-21. The relative risk of non-external mortality associated with high temperature (31.7degreeC, 99th percentile of temperature) relative to 28degreeC (75th percentile of temperature) was 1.11 (95% CI: 1.00, 1.24) for lags 0-21. CONCLUSION: This study indicates that exposure to both hot and cold temperatures were related to increased mortality. Both cold and hot effects occurred immediately but cold effects lasted longer than hot effects. This study provides useful data for policy makers to better prepare local responses to manage the impact of hot and cold temperatures on population health.",RAYYAN-LABELS: Sara,10.1186/1476-069X-11-36,"Age Factors;Aged;Aged, 80 and over;Cardiovascular Diseases/ep [Epidemiology];*Cardiovascular Diseases/mo [Mortality];*Climate;Cold Temperature/ae [Adverse Effects];Hot Temperature/ae [Adverse Effects];Humans;Middle Aged;Models, Biological;Nonlinear Dynamics;Poisson Distribution;Respiratory Tract Diseases/ep [Epidemiology];*Respiratory Tract Diseases/mo [Mortality];Seasons;Thailand/ep [Epidemiology];Time Factors;Urban Health;Thailand;Temperature",,
rayyan-1000362045,"Impacts of high temperature on morbidity in Seoul, South Korea",2012,,,Epidemiology,1044-3983,23,5,S816,"Ha, J. and Pak, H. and Shin, Y. S.",https://www.embase.com/search/results?subaction=viewrecord&id=L71290157&from=export http://dx.doi.org/10.1097/01.ede.0000417414.00991.37,English,,,"Background: Health impact of high temperature has been reported since the early 20th century. In South Korea, it is reported that mortality rises with temperature above city-specific thresholds during the hot season in six major cities. However, the health impact of high temperature on morbidity has been inconclusive in South Korea. Objectives: We focused on the relationships with high temperature and morbidity in summer (May- September) in Seoul, South Korea, from 2003-2009. Methods: Poisson regression models adapted for daily time-series data were used to estimate associations between daily temperature (0-1 day lag) above cause of morbidity-specific thresholds and daily morbidity-counts. In our study, morbidity data are episode data based on patients, with applying the episode of care in insurance claim data. We examined heat stroke and invasive diarrhea in three age categories: all ages, <65, and ≥65. Results: The summer temperature thresholds for all ages were 25.1°C and 25.8°C for heat stroke and invasive diarrhea. A 1°C increase in temperatures above morbidity-specific thresholds was associated with increase in episode counts for all ages, for those under the age of 65, and for those over age 65 of 26.45%, 26.51%, and 26.15% for heat stroke, 4.07%, 4.47%, and 1.55% for invasive diarrhea. Associations were stronger for those under the age of 65 in all morbidity, lower for those over age 65. Conclusions: Our study found that high temperature was associated increased risk of heat stroke and invasive diarrhea in Seoul, with still suggesting that public health efforts be needed.",RAYYAN-LABELS: Sara,10.1097/01.ede.0000417414.00991.37,high temperature;South Korea;heat stroke;diarrhea;morbidity;society;epidemiology;climate change;temperature;human;summer;city;health;insurance;patient care;mortality;patient;time series analysis;model;risk;public health;season;Korea;Temperature,,
rayyan-1000362059,The effect of ambient temperature on type-2-diabetes: case-crossover analysis of 4+ million GP consultations across England,2017,3,7,Environmental Health: A Global Access Science Source,1476-069X,16,1,73,"Hajat, S. and Haines, A. and Sarran, C. and Sharma, A. and Bates, C. and Fleming, L. E.",https://galter.northwestern.edu/exit?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med14&AN=28701216https://galter.northwestern.edu/exit?url=https://search.library.northwestern.edu/openurl/01NWU_INST/01NWU_INST:HSLV?sid=OVID:medline&id=pmid:28701216&id=doi:10.1186%2Fs12940-017-0284-7&issn=1476-069X&isbn=&volume=16&issue=1&spage=73&pages=73&date=2017&title=Environmental+Health%3A+A+Global+Access+Science+Source&atitle=The+effect+of+ambient+temperature+on+type-2-diabetes%3A+case-crossover+analysis+of+4%2B+million+GP+consultations+across+England.&aulast=Hajat     https://ehjournal.biomedcentral.com/counter/pdf/10.1186/s12940-017-0284-7.pdf,,,,"BACKGROUND: Given the double jeopardy of global increases in rates of obesity and climate change, it is increasingly important to recognise the dangers posed to diabetic patients during periods of extreme weather. We aimed to characterise the associations between ambient temperature and general medical practitioner consultations made by a cohort of type-2 diabetic patients. Evidence on the effects of temperature variation in the primary care setting is currently limited. METHODS: Case-crossover analysis of 4,474,943 consultations in England during 2012-2014, linked to localised temperature at place of residence for each patient. Conditional logistic regression was used to assess associations between each temperature-related consultation and control days matched on day-of-week. RESULTS: There was an increased odds of seeking medical consultation associated with high temperatures: Odds ratio (OR) = 1.097 (95% confidence interval = 1.041, 1.156) per 1 degreeC increase above 22 degreeC. Odds during low temperatures below 0 degreeC were also significantly raised: OR = 1.024 (1.019, 1.030). Heat-related consultations were particularly high among diabetics with cardiovascular comorbidities: OR = 1.171 (1.031, 1.331), but there was no heightened risk with renal failure or neuropathy comorbidities. Surprisingly, lower odds of heat-related consultation were associated with the use of diuretics, anticholinergics, antipsychotics or antidepressants compared to non-use, especially among those with cardiovascular comorbidities, although differences were not statistically significant. CONCLUSIONS: Type-2 diabetic patients are at increased odds of medical consultation during days of temperature extremes, especially during hot weather. The common assumption that certain medication use heightens the risk of heat illness was not borne-out by our study on diabetics in a primary care setting and such advice may need to be reconsidered in heat protection plans.",RAYYAN-LABELS: Sara,10.1186/s12940-017-0284-7,"Adolescent;Adult;Aged;Aged, 80 and over;Case-Control Studies;Child;Child, Preschool;Cohort Studies;*Diabetes Mellitus, Type 2/th [Therapy];England;Female;Humans;Infant;Infant, Newborn;Logistic Models;Male;Middle Aged;Primary Health Care/sn [Statistics & Numerical Data];*Primary Health Care;*Residence Characteristics;Risk Factors;Seasons;*Temperature;Young Adult;P-Glycoprotein;Referral and Consultation;Temperature",,
rayyan-1000362174,Heat-related and cold-related deaths in England and Wales: who is at risk?,2007,2,,Occupational & Environmental Medicine,1470-7926,64,2,93-100,"Hajat, S. and Kovats, R. S. and Lachowycz, K.",https://galter.northwestern.edu/exit?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med6&AN=16990293https://galter.northwestern.edu/exit?url=https://search.library.northwestern.edu/openurl/01NWU_INST/01NWU_INST:HSLV?sid=OVID:medline&id=pmid:16990293&id=doi:10.1136%2Foem.2006.029017&issn=1351-0711&isbn=&volume=64&issue=2&spage=93&pages=93-100&date=2007&title=Occupational+%26+Environmental+Medicine&atitle=Heat-related+and+cold-related+deaths+in+England+and+Wales%3A+who+is+at+risk%3F.&aulast=Hajat     https://oem.bmj.com/content/oemed/64/2/93.full.pdf,,,,"BACKGROUND: Despite the high burden from exposure to both hot and cold weather each year in England and Wales, there has been relatively little investigation on who is most at risk, resulting in uncertainties in informing government interventions. OBJECTIVE: To determine the subgroups of the population that are most vulnerable to heat-related and cold-related mortality. METHODS: Ecological time-series study of daily mortality in all regions of England and Wales between 1993 and 2003, with postcode linkage of individual deaths to a UK database of all care and nursing homes, and 2001 UK census small-area indicators. RESULTS: A risk of mortality was observed for both heat and cold exposure in all regions, with the strongest heat effects in London and strongest cold effects in the Eastern region. For all regions, a mean relative risk of 1.03 (95% confidence interval (CI) 1.02 to 1.03) was estimated per degree increase above the heat threshold, defined as the 95th centile of the temperature distribution in each region, and 1.06 (95% CI 1.05 to 1.06) per degree decrease below the cold threshold (set at the 5th centile). Elderly people, particularly those in nursing and care homes, were most vulnerable. The greatest risk of heat mortality was observed for respiratory and external causes, and in women, which remained after control for age. Vulnerability to either heat or cold was not modified by deprivation, except in rural populations where cold effects were slightly stronger in more deprived areas. CONCLUSIONS: Interventions to reduce vulnerability to both hot and cold weather should target all elderly people. Specific interventions should also be developed for people in nursing and care homes as heat illness is easily preventable.",RAYYAN-LABELS: Sara,10.1136/oem.2006.029017,"Adolescent;Adult;Age Distribution;Aged;Aged, 80 and over;*Cause of Death;Child;Child, Preschool;*Cold Temperature/ae [Adverse Effects];England/ep [Epidemiology];Environmental Exposure/ae [Adverse Effects];Female;Homes for the Aged/sn [Statistics & Numerical Data];*Hot Temperature/ae [Adverse Effects];Humans;Infant;Infant, Newborn;London/ep [Epidemiology];Male;Middle Aged;Nursing Homes/sn [Statistics & Numerical Data];Poverty/sn [Statistics & Numerical Data];Risk Factors;Rural Health/sn [Statistics & Numerical Data];Temperature;Wales/ep [Epidemiology];England;Cold Temperature;Hot Temperature;Wales",,
